NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
SG05603	łɔśsԑm -ije łiw -əł	снежинка DIM хвост 3SG	p	sbj	s	1	3s	bod	psp	nul	nul	1	s	non	pob	1	1
SG05701	šɔwr -ije	заяц DIM	p	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG05901	łiw	хвост	n	sbj	s	0	n	n	nul	nul	nul	0	s	non	nul	1	1
SG06001	šɔwr -ije	заяц DIM	i	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG06002	tɔlan -ŋəł -ał -ən	лапа DU.POSS 3SG LOC	i	sbj	s	1	3s	bod	loc	nul	nul	0	s	non	iob	1	1
SG06003	łiw -əł	хвост 3SG	i	sbj	s	1	3s	bod	psp	nul	nul	0	s	non	pob	1	1
SG06101	muw	земля	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
SG06201	kăši tăxi -ł -ał	боль место PL 3SG	i	sbj	s	1	3s	bod	nul	nul	nul	0	p	anm	obj	0	1
SG06301	aj łiw	маленький хвост	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
SG06401	wǫn łiw	большой хвост	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	1
SG06402	pa xojat	другой человек	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	0	1
SG06403	pa xojat łiw	другой человек хвост	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	prd	0	1
